male,age_categorical,married,education_categorical,race_categorical,alc_outlet_density,binge_drink,neighborhood_id
0,1,0,3,3,39,0,1
1,2,0,2,2,42,0,2
1,1,0,2,2,42,0,2
1,2,0,2,4,42,0,2
1,1,0,3,3,42,0,2
0,1,0,3,2,42,0,2
1,1,1,1,3,42,0,2
1,1,0,4,2,42,0,2
1,2,1,3,2,42,0,2
1,2,1,2,4,42,0,2
1,1,0,3,2,42,0,2
1,3,0,3,3,42,0,2
1,2,0,4,2,42,0,2
1,2,0,3,2,42,0,2
1,1,0,2,3,42,0,2
1,2,0,2,1,45,1,3
1,1,1,4,1,45,0,3
1,1,0,4,3,45,0,3
1,1,0,4,4,45,0,3
0,2,1,1,3,45,0,3
0,1,0,1,3,45,0,3
1,2,0,3,3,45,0,3
0,1,0,3,1,45,0,3
0,1,0,2,2,45,0,3
1,3,0,2,3,45,0,3
0,1,0,2,2,45,0,3
1,1,1,2,2,45,0,3
1,3,1,3,4,45,0,3
1,3,0,2,4,45,0,3
1,1,0,3,2,45,0,3
1,2,0,2,4,45,0,3
0,2,0,4,3,45,0,3
0,1,0,2,4,45,0,3
0,1,0,3,1,45,0,3
0,1,0,2,2,45,0,3
0,2,0,3,3,45,0,3
1,2,0,4,3,45,0,3
1,2,0,3,3,45,0,3
0,2,0,3,2,45,0,3
1,2,0,4,3,45,0,3
1,1,0,1,2,48,0,4
0,3,0,3,3,48,0,4
0,1,0,1,2,48,0,4
0,3,1,4,2,48,0,4
0,1,0,4,1,48,0,4
1,2,1,3,2,48,0,4
0,2,0,3,2,48,0,4
0,3,0,3,2,48,0,4
1,1,1,4,4,48,0,4
0,4,0,1,2,48,0,4
0,3,0,4,2,48,0,4
1,4,0,4,2,48,0,4
1,2,0,1,1,48,0,4
1,3,0,1,3,48,0,4
0,1,0,2,4,48,0,4
1,1,0,3,2,48,0,4
0,2,1,3,2,48,0,4
1,2,1,3,1,48,0,4
1,3,1,2,3,48,0,4
1,2,1,4,1,48,0,4
1,2,0,1,1,48,0,4
1,2,0,2,3,48,0,4
1,4,1,4,4,48,0,4
1,3,1,3,1,48,0,4
1,4,1,4,4,48,0,4
1,3,0,1,4,48,0,4
1,3,0,3,4,48,0,4
1,3,1,1,2,48,0,4
1,2,1,4,1,48,0,4
0,4,0,4,2,48,0,4
1,1,1,2,4,48,0,4
1,1,1,2,1,48,0,4
1,2,0,4,3,48,0,4
0,2,0,3,3,48,0,4
1,2,0,2,1,48,1,4
1,2,0,4,2,48,0,4
1,1,0,3,1,48,0,4
1,3,0,2,2,48,0,4
0,4,0,4,3,51,0,5
1,1,0,3,1,51,0,5
0,3,0,3,2,51,0,5
1,4,0,3,4,51,0,5
0,1,0,4,1,51,0,5
1,2,0,4,1,51,0,5
1,4,0,3,3,51,0,5
0,2,1,4,1,51,0,5
1,3,0,2,3,51,0,5
1,4,1,3,1,51,0,5
0,2,1,3,3,51,0,5
1,3,0,3,1,51,0,5
0,2,0,3,1,51,0,5
1,2,0,2,1,51,0,5
1,2,0,4,4,51,0,5
0,4,0,4,2,51,0,5
1,2,0,2,2,51,0,5
0,3,0,4,2,51,0,5
0,1,1,1,2,51,0,5
0,2,0,4,4,51,0,5
0,2,1,2,3,51,0,5
0,2,1,3,3,51,0,5
1,1,1,2,4,51,0,5
0,3,1,2,4,51,0,5
0,4,1,2,3,51,0,5
0,5,0,2,3,51,0,5
1,3,0,1,2,51,1,5
0,4,0,2,2,51,0,5
1,3,0,2,2,51,0,5
0,3,0,4,1,51,0,5
0,3,0,3,1,51,0,5
0,3,0,2,3,51,0,5
0,2,1,1,1,51,1,5
1,4,0,1,2,51,0,5
1,4,0,2,4,51,1,5
0,3,0,2,2,51,0,5
1,1,1,3,2,51,0,5
1,2,1,2,1,51,0,5
0,2,1,3,4,51,0,5
1,4,0,3,1,51,0,5
1,4,1,2,2,51,0,5
1,4,0,2,4,51,0,5
0,4,0,4,4,51,0,5
0,3,0,2,3,51,0,5
1,3,0,3,2,51,0,5
0,2,1,2,2,51,0,5
0,1,1,1,3,51,0,5
1,5,0,3,3,51,0,5
0,2,0,1,4,51,0,5
1,3,0,4,1,51,0,5
0,3,0,2,3,51,0,5
1,3,0,3,3,51,1,5
0,1,0,1,3,51,0,5
0,3,0,4,3,51,0,5
1,2,0,3,3,51,0,5
0,2,0,2,2,51,0,5
1,1,0,3,1,51,0,5
0,1,0,1,3,51,0,5
0,3,1,1,2,51,0,5
0,2,0,2,4,51,0,5
1,1,0,4,3,51,0,5
0,3,1,3,3,51,0,5
0,3,1,3,4,51,0,5
0,3,0,1,2,51,0,5
0,3,0,3,2,51,0,5
1,2,0,1,3,51,1,5
1,2,0,3,1,51,0,5
1,2,0,3,2,51,0,5
0,2,0,3,1,51,0,5
1,2,1,1,2,51,0,5
1,2,0,1,1,51,0,5
1,4,0,1,4,51,0,5
1,2,1,4,2,51,0,5
1,3,0,1,3,51,1,5
0,5,0,3,4,54,0,6
0,4,1,1,2,54,0,6
0,2,1,1,1,54,0,6
0,4,0,4,2,54,0,6
1,3,0,2,4,54,0,6
0,3,0,3,2,54,0,6
1,2,1,4,1,54,0,6
1,5,0,2,3,54,1,6
1,4,0,1,1,54,1,6
0,1,1,4,3,54,0,6
0,5,0,2,3,54,0,6
0,3,1,1,2,54,0,6
1,4,0,3,2,54,0,6
1,4,1,3,3,54,0,6
1,3,0,1,3,54,1,6
1,2,1,1,1,54,0,6
0,5,0,2,4,54,0,6
1,3,0,1,2,54,1,6
0,5,0,4,1,54,0,6
1,2,1,1,1,54,0,6
0,1,0,3,1,54,0,6
1,5,0,2,3,54,0,6
0,2,0,3,1,54,0,6
0,1,0,4,3,54,0,6
0,6,0,3,2,54,0,6
0,3,0,4,1,54,0,6
1,4,1,4,4,54,0,6
1,5,0,3,1,54,0,6
0,5,0,4,4,54,0,6
1,4,1,3,1,54,0,6
1,5,1,2,1,54,0,6
1,3,0,2,1,54,0,6
0,4,0,3,1,54,0,6
0,2,0,3,2,54,0,6
1,1,0,4,2,54,0,6
0,3,0,3,3,54,0,6
1,2,0,4,4,54,0,6
1,1,0,3,1,54,0,6
0,3,0,4,2,54,0,6
0,5,0,1,3,54,0,6
1,2,1,3,4,54,0,6
1,3,0,4,4,54,0,6
1,3,1,4,4,54,0,6
1,2,1,2,1,54,0,6
0,3,0,1,3,54,0,6
0,2,0,3,3,54,0,6
0,1,0,2,1,54,0,6
0,3,0,4,3,54,0,6
1,2,0,1,4,54,0,6
0,4,0,1,1,54,1,6
1,4,0,4,2,54,0,6
1,5,0,3,3,54,1,6
0,4,0,3,4,54,0,6
0,4,1,1,2,54,0,6
1,3,0,3,2,54,0,6
0,4,0,2,3,54,0,6
1,2,0,2,1,54,0,6
1,5,1,3,4,54,0,6
1,2,1,2,2,54,0,6
0,2,0,3,3,54,0,6
0,4,0,3,4,54,0,6
0,3,0,2,1,54,0,6
0,4,1,3,4,54,0,6
0,2,0,3,3,54,0,6
0,1,1,3,3,54,0,6
0,1,1,3,1,54,0,6
1,1,0,2,3,54,0,6
1,3,0,2,3,54,1,6
0,3,1,4,3,54,0,6
0,2,0,1,4,54,0,6
1,3,0,1,4,54,0,6
0,2,1,3,1,54,0,6
0,5,0,3,3,54,0,6
1,5,1,4,1,57,0,7
0,1,1,3,2,57,0,7
1,4,1,3,2,57,0,7
1,2,1,1,3,57,0,7
1,2,0,2,1,57,0,7
1,3,1,4,1,57,0,7
1,1,0,2,2,57,0,7
1,3,0,1,3,57,1,7
0,3,1,3,2,57,0,7
1,5,0,3,1,57,0,7
1,4,0,1,1,57,1,7
0,3,0,1,4,57,0,7
0,5,0,3,4,57,0,7
1,5,1,3,1,57,0,7
1,3,1,2,3,57,0,7
0,4,0,3,1,57,0,7
0,5,0,2,3,57,0,7
0,2,0,2,2,57,0,7
1,1,0,2,1,57,0,7
0,5,1,1,2,57,0,7
1,4,0,4,1,57,0,7
0,5,0,3,1,57,0,7
1,5,1,1,4,57,0,7
1,2,0,2,3,57,0,7
0,4,0,3,3,57,0,7
0,4,0,1,3,57,0,7
0,4,0,4,1,57,0,7
0,6,0,3,3,57,0,7
1,3,0,2,1,57,0,7
0,4,1,2,2,57,0,7
1,6,1,4,4,57,0,7
0,3,1,4,2,57,0,7
1,2,0,3,2,57,0,7
0,4,1,4,3,57,0,7
0,6,0,4,3,57,0,7
0,6,0,2,1,57,0,7
1,5,0,1,1,57,1,7
0,1,0,2,1,57,0,7
1,5,0,3,4,57,0,7
1,3,1,1,2,57,0,7
1,5,0,3,3,57,0,7
1,2,0,2,1,57,1,7
1,5,0,3,2,57,0,7
0,3,0,1,3,57,0,7
1,1,0,1,2,57,0,7
0,5,1,4,3,57,0,7
1,3,0,3,1,57,0,7
0,4,0,3,4,57,0,7
1,4,0,1,1,57,1,7
0,2,0,3,1,57,0,7
1,4,1,2,1,57,0,7
0,1,0,3,2,57,0,7
1,1,0,3,2,57,0,7
1,2,0,4,1,57,0,7
0,2,0,2,1,57,0,7
1,1,0,2,2,57,0,7
1,2,0,2,3,57,0,7
0,2,0,1,1,57,0,7
1,4,0,3,4,57,0,7
0,5,0,2,2,57,0,7
0,2,0,2,3,57,0,7
0,2,0,3,2,57,0,7
0,2,1,4,1,57,0,7
0,4,1,4,3,57,0,7
0,3,0,2,1,57,0,7
1,4,0,4,1,57,0,7
0,4,0,4,2,57,0,7
0,4,0,3,2,57,0,7
0,5,0,4,3,57,0,7
0,1,1,2,1,57,0,7
0,2,0,3,4,57,0,7
0,3,0,1,1,57,0,7
0,2,1,3,2,57,0,7
1,4,0,4,3,57,0,7
1,3,0,4,3,57,0,7
0,4,0,3,1,57,0,7
0,5,0,2,3,60,0,8
0,6,1,2,3,60,0,8
1,4,0,1,4,60,1,8
0,2,0,1,1,60,0,8
0,2,0,4,1,60,0,8
0,2,1,3,1,60,0,8
0,5,0,2,4,60,0,8
0,4,0,3,2,60,0,8
1,4,0,4,1,60,0,8
1,5,0,4,3,60,0,8
0,2,0,3,1,60,0,8
0,5,1,1,4,60,0,8
1,4,0,2,3,60,0,8
0,2,0,3,3,60,0,8
0,2,0,1,1,60,0,8
0,5,1,2,2,60,0,8
0,6,0,3,3,60,0,8
0,5,0,3,1,60,0,8
1,1,1,2,3,60,0,8
1,5,0,4,4,60,0,8
0,4,0,3,1,60,0,8
0,5,0,3,3,60,0,8
0,5,0,3,3,60,0,8
1,3,1,2,2,60,0,8
1,5,0,4,2,60,0,8
1,2,1,2,1,60,0,8
1,3,0,2,1,60,0,8
1,2,0,4,1,60,0,8
1,5,1,4,4,60,0,8
0,6,1,2,2,60,0,8
0,6,0,2,2,60,0,8
1,3,0,3,1,60,0,8
0,5,1,3,4,60,0,8
1,2,0,3,3,60,0,8
0,4,0,2,3,60,0,8
1,4,1,3,3,60,0,8
1,2,0,3,4,60,0,8
1,5,0,3,3,60,0,8
0,4,0,2,1,60,0,8
0,4,0,2,1,60,0,8
1,6,1,2,3,60,0,8
0,1,0,3,1,60,0,8
1,1,0,2,3,60,0,8
0,2,1,2,2,60,0,8
1,2,0,2,3,60,0,8
0,1,1,2,2,60,0,8
1,3,1,2,1,60,0,8
0,2,0,2,1,60,0,8
1,2,0,3,2,60,0,8
1,3,0,1,1,60,1,8
0,6,0,2,2,60,0,8
0,4,0,3,1,60,0,8
0,4,0,1,1,60,0,8
0,2,0,4,1,60,0,8
1,3,0,2,3,60,1,8
0,3,0,2,1,60,1,8
0,2,1,3,1,60,0,8
0,3,0,3,1,60,0,8
1,6,0,2,1,60,0,8
1,5,1,3,3,60,0,8
1,2,0,2,3,60,0,8
1,5,0,2,1,60,0,8
0,5,0,4,2,60,0,8
1,5,0,1,2,60,0,8
0,3,1,2,3,60,0,8
0,6,1,3,3,60,0,8
1,6,0,4,1,60,0,8
1,4,0,3,1,60,0,8
1,4,0,4,2,60,0,8
1,4,0,4,3,60,0,8
1,2,0,3,2,60,0,8
1,3,0,2,2,60,0,8
1,4,1,4,1,60,0,8
1,6,1,1,1,60,0,8
1,3,1,1,3,60,1,8
0,5,0,4,4,60,0,8
0,4,1,2,2,60,0,8
0,5,0,3,1,60,0,8
1,6,0,2,1,60,0,8
1,2,0,3,3,60,0,8
0,3,0,3,3,60,0,8
0,2,1,4,1,60,0,8
0,5,0,4,3,60,0,8
1,5,0,3,2,60,1,8
1,4,0,2,1,60,1,8
