A,L,B_true,C_true,M2,M3,B,C,id
0,0.321,0,0,0,0,0.0,0.0,46339
0,-0.601,0,0,0,0,0.0,0.0,49626
0,0.64,0,1,0,0,0.0,1.0,86432
1,-1.178,1,1,0,1,1.0,,18101
0,-0.685,0,1,0,1,0.0,,71022
0,-1.382,0,0,0,0,0.0,0.0,19080
0,0.252,0,1,0,0,0.0,1.0,43552
1,-1.491,1,1,1,1,,,90171
1,1.5019999999999998,0,1,0,1,0.0,,31903
0,-0.055,1,0,0,1,1.0,,92511
0,0.991,1,0,0,1,1.0,,11860
0,1.91,0,0,0,0,0.0,0.0,30942
1,1.218,1,1,0,1,1.0,,29169
0,-0.637,1,1,0,1,1.0,,4924
0,0.5329999999999999,0,0,0,1,0.0,,8234
0,0.725,1,1,0,1,1.0,,54887
1,0.7929999999999999,1,0,0,1,1.0,,72493
1,-1.806,1,1,0,1,1.0,,49736
0,-0.5710000000000001,1,1,0,1,1.0,,85474
1,0.639,0,1,0,0,0.0,1.0,89744
1,-0.584,1,0,0,1,1.0,,705
0,-0.472,0,0,0,1,0.0,,38400
0,0.637,0,0,0,0,0.0,0.0,32808
1,0.413,0,0,0,0,0.0,0.0,1676
0,1.399,1,1,0,1,1.0,,85036
0,0.638,1,1,0,1,1.0,,19487
0,-0.221,1,1,0,1,1.0,,15709
0,-0.39,1,1,0,1,1.0,,327
0,-0.83,0,0,0,1,0.0,,70501
0,-0.6829999999999999,1,1,0,1,1.0,,89986
0,-0.374,1,1,0,0,1.0,1.0,97587
0,0.33,0,1,0,1,0.0,,60404
0,0.39,0,0,0,1,0.0,,10075
0,1.646,0,0,0,0,0.0,0.0,37418
0,0.856,0,0,0,1,0.0,,43622
1,-0.189,0,0,0,1,0.0,,33667
0,-1.751,0,1,0,0,0.0,1.0,89810
1,0.498,0,0,1,1,,,30889
1,-0.237,0,0,0,0,0.0,0.0,86750
1,0.159,1,1,0,1,1.0,,11171
0,-0.33,1,1,0,1,1.0,,29951
1,0.21600000000000005,1,1,0,1,1.0,,87213
1,0.071,1,0,1,1,,,72788
1,-0.595,0,1,0,1,0.0,,29007
0,1.189,1,1,0,1,1.0,,50300
0,-0.041,1,1,0,1,1.0,,27718
0,0.041,0,0,0,1,0.0,,60978
0,0.539,1,1,0,1,1.0,,4280
0,0.451,0,0,0,1,0.0,,17751
1,-1.413,0,0,1,1,,,20940
0,-0.11,0,1,0,0,0.0,1.0,35882
1,0.314,1,0,0,1,1.0,,96400
0,-0.941,1,1,0,1,1.0,,49447
0,-0.239,0,1,0,0,0.0,1.0,71383
0,0.008,0,0,0,0,0.0,0.0,30861
0,-0.493,0,1,0,1,0.0,,6085
1,1.6869999999999998,0,0,0,0,0.0,0.0,76960
0,-0.139,1,0,0,1,1.0,,78454
0,2.241,0,1,0,1,0.0,,5455
0,-0.411,1,1,0,1,1.0,,87051
0,1.462,0,1,0,1,0.0,,98087
1,-1.2990000000000002,1,1,0,1,1.0,,70789
0,-1.132,0,0,0,1,0.0,,1431
1,-0.059,1,1,1,1,,,65829
1,-0.612,1,1,0,1,1.0,,60335
0,0.626,0,1,0,0,0.0,1.0,21359
0,1.38,0,1,1,1,,,44701
0,0.368,0,0,0,0,0.0,0.0,10342
1,-0.312,0,0,0,0,0.0,0.0,45026
1,-1.36,0,1,0,1,0.0,,62845
1,1.883,0,1,0,0,0.0,1.0,84322
1,1.3090000000000002,0,0,0,0,0.0,0.0,36106
1,0.461,0,1,0,1,0.0,,56752
0,-0.126,0,1,0,1,0.0,,90958
0,-0.912,0,0,0,1,0.0,,67420
1,1.787,0,0,0,1,0.0,,53751
1,0.271,0,1,0,0,0.0,1.0,54329
0,1.0490000000000002,1,1,0,0,1.0,1.0,16333
1,-1.169,1,1,0,1,1.0,,80088
0,-1.321,0,0,0,1,0.0,,82360
0,-0.486,1,1,0,1,1.0,,9266
0,1.168,1,1,0,1,1.0,,17199
1,-1.843,0,0,0,1,0.0,,97962
1,-0.906,1,1,0,1,1.0,,49006
0,0.267,0,0,0,1,0.0,,49789
0,-0.873,1,1,0,1,1.0,,34303
0,0.25,0,0,0,0,0.0,0.0,26837
